endpoint_class,architecture,metric,metric_domain,direction,unit,variant,seed_count,mean,median,std_population,minimum,maximum
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,DQ,5,32051.0,32051.0,0.0,32051.0,32051.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,QAT,5,38293.0,38293.0,0.0,38293.0,38293.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P25-QAT,5,29013.0,29013.0,0.0,29013.0,29013.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P50-QAT,5,20949.0,20949.0,0.0,20949.0,20949.0
confirmatory,compact_dnn,serialized_state_dict_bytes,deployment,lower_is_better,bytes,PTQ,5,38293.0,38293.0,0.0,38293.0,38293.0
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,5,0.9979943971621758,0.9979208789428778,0.0001147704513422197,0.9978829517551381,0.9981409927335266
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,FP32-FT,5,0.9980194688122846,0.9979776897602232,0.00016047073044462838,0.9978100064501629,0.998289451354056
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P25-noFT,5,0.9981630797020726,0.9980650478663299,0.0002142967876824825,0.9979624194480636,0.9985641264222763
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P25-FP32-FT,5,0.9978222894789802,0.997781982684628,0.0001303527169706128,0.9976646354391953,0.9980294782944562
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P50-noFT,5,0.9461712357064658,0.9924070777369406,0.08549249630357665,0.7764288173510887,0.9967720027554137
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P50-FP32-FT,5,0.9974174604577698,0.9974654478669489,0.00018271167378814844,0.9970923165458777,0.9976290739750319
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,DQ,5,0.8816478960369803,0.8805222978974644,0.019633033009737816,0.8565621677219656,0.9078729791719408
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,QAT,5,0.9971471045335791,0.9971791879944404,0.0004876512775857182,0.9965518746156571,0.9977587773999574
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P25-QAT,5,0.9970109404936525,0.9970654237586873,0.0001617358949191795,0.996814166531366,0.997219442528562
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P50-QAT,5,0.9961596111751702,0.9958842272103438,0.000455458815993694,0.9957334663351852,0.9969355230936227
exploratory,compact_dnn,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,PTQ,5,0.9922901894667845,0.9944988228612665,0.004944314060808106,0.9833015010011144,0.9972514690757358
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,5,0.052208999999999964,0.048914999999999986,0.010174544412404873,0.0366,0.06362499999999999
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,FP32-FT,5,0.06195599999999999,0.0618,0.0074137746121661855,0.050705,0.07044999999999996
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P25-noFT,5,0.06565199999999997,0.07054499999999995,0.010832569224334556,0.05167499999999993,0.07811999999999998
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P25-FP32-FT,5,0.06135099999999999,0.058105,0.010585243218745615,0.05060999999999999,0.077705
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P50-noFT,5,0.05858799999999995,0.0571,0.010767660655871335,0.045834999999999966,0.0750049999999999
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P50-FP32-FT,5,0.048155999999999984,0.0464,0.003552805088940282,0.04410999999999999,0.05381999999999998
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,DQ,5,0.2279939999999999,0.23014499999999996,0.009477156957653478,0.21087499999999992,0.238105
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,QAT,5,0.21350799999999986,0.21055499999999994,0.011953053417432708,0.19742999999999988,0.22891499999999998
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P25-QAT,5,0.18874699999999991,0.1895,0.019640577282758222,0.1636199999999999,0.21928999999999982
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P50-QAT,5,0.19055799999999995,0.20210999999999998,0.021072332239218342,0.15913999999999995,0.20992
exploratory,compact_dnn,batch_1_p95_ms,deployment,lower_is_better,milliseconds,PTQ,5,0.1888459999999999,0.1800149999999997,0.012825383581008445,0.17586499999999997,0.20553999999999994
